Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,532,0,12000.0,10780.918392885322,1302.7626209996015,13608.103508000568,76854.0,4.114947143779002,0.0,12000,12000,12000,12000,12000,12000,12000,13000,14000,14000,14000
GET,/post-detail,1799,0,12000.0,10910.10318468206,1345.0359440003012,13937.750056000368,86389.9316286826,13.915018630936888,0.0,12000,12000,12000,12000,12000,12000,12000,13000,14000,14000,14000
,Aggregated,2331,0,12000.0,10880.619568536235,1302.7626209996015,13937.750056000368,84213.56284856285,18.02996577471589,0.0,12000,12000,12000,12000,12000,12000,12000,13000,14000,14000,14000
