Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,326,0,16000.0,15066.57630123312,2634.9930879996464,17107.77108900038,76854.0,2.5216597557300404,0.0,16000,16000,16000,17000,17000,17000,17000,17000,17000,17000,17000
GET,/post-detail,1071,0,16000.0,14808.364572103674,2453.154650000215,17084.327544999724,86389.46405228759,8.284348461309428,0.0,16000,16000,16000,16000,16000,17000,17000,17000,17000,17000,17000
,Aggregated,1397,0,16000.0,14868.620136667867,2453.154650000215,17107.77108900038,84164.29491768075,10.806008217039468,0.0,16000,16000,16000,16000,17000,17000,17000,17000,17000,17000,17000
