Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,708,0,1300.0,1824.4872877387015,285.87628600001835,6070.894737999993,76854.0,5.838857952555951,0.0,1300,2200,3100,3300,3800,4200,4800,5100,6100,6100,6100
GET,/post-detail,2410,0,1100.0,1700.6937911531134,269.0784350000399,6627.033613000009,86389.58547717842,19.875208567316164,0.0,1100,2100,2700,3100,3600,4100,4600,5100,5700,6600,6600
,Aggregated,3118,0,1200.0,1728.8034112886446,269.0784350000399,6627.033613000009,84224.35311096857,25.714066519872116,0.0,1200,2200,2800,3100,3700,4100,4700,5100,5900,6600,6600
