Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,745,0,7300.0,7087.748328884561,746.383102999971,11072.221888999935,76854.0,5.852874626551411,0.0,7300,7700,8200,8600,9500,10000,11000,11000,11000,11000,11000
GET,/post-detail,2556,0,7100.0,6967.342532780517,654.5064580000144,11171.266347000028,86390.51408450704,20.08046650398041,0.0,7100,7600,8100,8500,9400,10000,11000,11000,11000,11000,11000
,Aggregated,3301,0,7100.0,6994.5168187840045,654.5064580000144,11171.266347000028,84238.2259921236,25.93334113053182,0.0,7100,7600,8100,8500,9400,10000,11000,11000,11000,11000,11000
