Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,645,359,2800.0,6313.423902826348,13.419525000244903,38081.31755900013,34940.92093023256,4.976016376724464,2.7695967120063294,2800,4600,8700,11000,20000,25000,29000,30000,38000,38000,38000
GET,/post-detail,2045,1115,2800.0,6886.823440330079,13.24189299975842,37498.78843900024,39967.8141809291,15.776672078141903,8.601950790771747,2800,5200,10000,15000,20000,26000,30000,34000,37000,37000,37000
,Aggregated,2690,1474,2800.0,6749.335447136818,13.24189299975842,38081.31755900013,38762.48104089219,20.752688454866366,11.371547502778077,2800,5100,10000,14000,20000,26000,30000,33000,37000,38000,38000
