Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,330,0,21000.0,18792.585606797,2691.8445290002637,23418.040918999395,76854.0,2.5527617265422116,0.0,21000,21000,21000,21000,21000,21000,22000,23000,23000,23000,23000
GET,/post-detail,1070,0,21000.0,18649.327949940194,2373.4558199994353,23476.488752000478,86390.28411214953,8.277136507273232,0.0,21000,21000,21000,21000,21000,21000,21000,22000,23000,23000,23000
,Aggregated,1400,0,21000.0,18683.095826199293,2373.4558199994353,23476.488752000478,84142.44571428571,10.829898233815443,0.0,21000,21000,21000,21000,21000,21000,21000,22000,23000,23000,23000
