Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,625,0,9300.0,8678.021033038392,977.9128169993783,12007.4275019997,76854.0,4.913735556321065,0.0,9300,9400,9500,9500,9600,9700,9900,11000,12000,12000,12000
GET,/post-detail,2157,0,9300.0,8710.226783322209,940.9460070000932,12183.05102300019,86389.88919796013,16.95828415197526,0.0,9300,9400,9400,9500,9500,9600,9900,11000,12000,12000,12000
,Aggregated,2782,0,9300.0,8702.991487158512,940.9460070000932,12183.05102300019,84247.57045291158,21.872019708296325,0.0,9300,9400,9400,9500,9600,9700,9900,11000,12000,12000,12000
