Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,656,6,10000.0,10457.510969198183,1333.0554169997413,60029.97720199983,76152.2743902439,5.07592763326355,0.046426167377410524,10000,11000,11000,11000,11000,11000,13000,54000,60000,60000,60000
GET,/post-detail,2177,12,10000.0,10515.373313219137,1257.799927000633,60011.606924999796,85914.02112999541,16.84496106343712,0.09285233475482105,10000,11000,11000,11000,11000,11000,27000,41000,60000,60000,60000
,Aggregated,2833,18,10000.0,10501.974902461012,1257.799927000633,60029.97720199983,83653.6237204377,21.92088869670067,0.13927850213223156,10000,11000,11000,11000,11000,11000,20000,43000,60000,60000,60000
